City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Ponta Do Sol,PT,2022-07-28 00:28:51,32.6667,-17.1,72.23,80,0,4.36
91,Inuvik,CA,2022-07-28 00:28:52,68.3499,-133.7218,61.66,44,75,10.36
92,Kodiak,US,2022-07-28 00:27:52,57.79,-152.4072,63.91,52,0,11.5
93,Half Moon Bay,US,2022-07-28 00:28:46,37.4636,-122.4286,84.06,69,75,24.16
94,Gotsu,JP,2022-07-28 00:28:53,35.0,132.2167,84.9,72,39,3.4
95,Brae,GB,2022-07-28 00:28:53,60.3964,-1.353,52.25,81,54,5.84
96,Jamestown,US,2022-07-28 00:24:53,42.097,-79.2353,72.72,73,100,5.75
97,Tuy Hoa,VN,2022-07-28 00:28:54,13.0833,109.3,80.01,81,23,4.14
98,Padang,ID,2022-07-28 00:28:54,-0.9492,100.3543,71.65,75,66,4.25
99,San Policarpo,PH,2022-07-28 00:28:55,12.1791,125.5072,81.03,87,76,7.25
100,Los Llanos De Aridane,ES,2022-07-28 00:28:55,28.6585,-17.9182,72.12,90,20,17.27
101,Coihaique,CL,2022-07-28 00:28:55,-45.5752,-72.0662,39.81,65,75,3.44
102,Dunedin,NZ,2022-07-28 00:26:16,-45.8742,170.5036,46.8,86,100,7.0
103,Portland,US,2022-07-28 00:26:47,45.5234,-122.6762,99.84,37,20,6.91
104,Xianyang,CN,2022-07-28 00:28:56,34.3378,108.7026,76.24,83,0,6.71
105,Belyy Yar,RU,2022-07-28 00:28:57,53.6039,91.3903,57.85,80,0,2.24
106,Nikolskoye,RU,2022-07-28 00:28:49,59.7035,30.7861,57.09,96,92,4.38
107,Lasa,IT,2022-07-28 00:28:57,46.6166,10.7002,63.48,91,55,1.99
108,Baturite,BR,2022-07-28 00:28:58,-4.3286,-38.8847,71.44,87,34,3.51
109,Boditi,ET,2022-07-28 00:28:58,6.9667,37.8667,56.71,80,96,1.63
110,Raton,US,2022-07-28 00:27:24,36.9034,-104.4391,70.14,83,100,11.5
111,Saint George,US,2022-07-28 00:26:09,37.1041,-113.5841,88.39,60,40,17.27
112,Millinocket,US,2022-07-28 00:28:59,45.6573,-68.7098,75.31,53,0,0.0
113,Lebu,CL,2022-07-28 00:28:59,-37.6167,-73.65,49.21,87,45,6.51
114,Souillac,MU,2022-07-28 00:26:25,-20.5167,57.5167,68.38,88,40,5.75
115,Chaupal,IN,2022-07-28 00:29:00,30.95,77.5833,58.86,97,98,0.43
116,Thompson,CA,2022-07-28 00:29:00,55.7435,-97.8558,59.16,88,75,3.44
117,Sur,OM,2022-07-28 00:29:01,22.5667,59.5289,80.74,73,80,15.73
118,Narrabri,AU,2022-07-28 00:29:01,-30.3167,149.7833,55.53,73,2,4.0
119,Antsohihy,MG,2022-07-28 00:29:02,-14.8796,47.9875,64.38,88,0,2.68
120,Changde,CN,2022-07-28 00:29:02,29.0464,111.6783,80.8,82,100,0.34
121,Dikson,RU,2022-07-28 00:28:01,73.5069,80.5464,41.16,95,83,11.99
122,Acapulco,MX,2022-07-28 00:29:03,16.8634,-99.8901,84.02,70,75,3.44
123,Baykit,RU,2022-07-28 00:29:03,61.67,96.37,64.22,94,100,2.37
124,Nieuw Amsterdam,SR,2022-07-28 00:29:04,5.8833,-55.0833,77.02,93,75,4.61
125,Geraldton,AU,2022-07-28 00:29:04,-28.7667,114.6,57.61,77,100,12.66
126,Fortuna,US,2022-07-28 00:29:05,40.5982,-124.1573,70.93,74,20,13.8
127,Bathsheba,BB,2022-07-28 00:29:05,13.2167,-59.5167,81.21,87,40,18.41
128,Lorengau,PG,2022-07-28 00:29:06,-2.0226,147.2712,85.06,69,37,11.48
129,Norden,DE,2022-07-28 00:24:28,53.6,7.2,56.97,56,99,8.03
130,Saldanha,ZA,2022-07-28 00:29:07,-33.0117,17.9442,46.45,69,0,4.97
131,Kahului,US,2022-07-28 00:28:00,20.8947,-156.47,87.82,60,20,25.32
132,Avarua,CK,2022-07-28 00:29:08,-21.2078,-159.775,78.85,69,40,20.71
133,Lompoc,US,2022-07-28 00:24:32,34.6391,-120.4579,70.84,74,0,12.66
134,Tura,IN,2022-07-28 00:29:08,25.5198,90.2201,74.57,91,97,3.22
135,Kaitangata,NZ,2022-07-28 00:26:48,-46.2817,169.8464,44.67,95,100,6.35
136,Srednekolymsk,RU,2022-07-28 00:27:34,67.45,153.6833,51.57,50,97,10.4
137,Longyearbyen,SJ,2022-07-28 00:25:21,78.2186,15.6401,44.44,76,75,23.02
138,Korla,CN,2022-07-28 00:30:09,41.7597,86.1469,86.74,19,0,6.2
139,Melilla,ES,2022-07-28 00:30:10,35.2937,-2.9383,75.58,38,0,2.3
140,Gurun,MY,2022-07-28 00:30:10,5.8172,100.4738,81.73,88,86,2.28
141,Adiake,CI,2022-07-28 00:30:11,5.2863,-3.304,75.29,86,94,9.37
142,Puerto Ayora,EC,2022-07-28 00:30:11,-0.7393,-90.3518,70.56,94,100,7.0
143,Menongue,AO,2022-07-28 00:30:12,-14.6585,17.691,50.45,41,44,5.01
144,Hatillo,PR,2022-07-28 00:30:13,18.4863,-66.8254,78.06,92,21,1.01
145,Shubarkuduk,KZ,2022-07-28 00:30:13,49.1447,56.4872,68.59,68,10,6.51
146,Hofn,IS,2022-07-28 00:27:59,64.2539,-15.2082,53.64,98,100,26.62
147,Fayaoue,NC,2022-07-28 00:30:14,-20.65,166.5333,73.2,73,37,16.28
148,Hilo,US,2022-07-28 00:30:14,19.7297,-155.09,89.28,76,75,11.5
149,Baruun-Urt,MN,2022-07-28 00:30:15,46.6806,113.2792,65.25,49,20,3.0
150,Nantucket,US,2022-07-28 00:26:46,41.2835,-70.0995,75.99,78,0,8.05
151,Arraial Do Cabo,BR,2022-07-28 00:27:35,-22.9661,-42.0278,69.76,83,0,10.36
152,Palm Valley,US,2022-07-28 00:30:16,30.1775,-81.3876,86.02,83,61,11.63
153,Torbay,CA,2022-07-28 00:30:16,47.6666,-52.7314,66.97,83,40,11.5
154,Mulatupo,PA,2022-07-28 00:30:17,8.9492,-77.7652,76.5,91,100,6.55
155,Chuy,UY,2022-07-28 00:26:41,-33.6971,-53.4616,58.87,98,93,4.61
156,Bilma,NE,2022-07-28 00:30:17,18.6853,12.9164,87.37,24,63,14.81
157,Hambantota,LK,2022-07-28 00:30:18,6.1241,81.1185,73.74,100,40,2.3
158,Bambanglipuro,ID,2022-07-28 00:30:18,-7.95,110.2833,78.42,80,60,4.68
159,Turan,VN,2022-07-28 00:26:55,16.0678,108.2208,84.18,70,0,2.3
160,Yantongshan,CN,2022-07-28 00:30:19,43.2919,126.0094,79.09,75,94,4.92
161,Nongan,CN,2022-07-28 00:30:20,44.382,125.1685,78.78,83,97,7.27
162,Cavalcante,BR,2022-07-28 00:30:20,-13.7975,-47.4583,65.35,45,1,3.96
163,Otavalo,EC,2022-07-28 00:30:21,0.2333,-78.2667,55.62,91,94,4.36
164,Kruisfontein,ZA,2022-07-28 00:30:21,-34.0033,24.7314,49.89,90,1,4.12
165,Jiaocheng,CN,2022-07-28 00:30:22,24.6774,116.1389,90.27,60,60,2.44
166,Tual,ID,2022-07-28 00:28:40,-5.6667,132.75,79.07,85,41,21.12
167,Saint-Francois,FR,2022-07-28 00:30:22,46.4154,3.9054,56.64,82,0,2.3
168,Pisco,PE,2022-07-28 00:29:11,-13.7,-76.2167,62.65,82,20,9.22
169,Auki,SB,2022-07-28 00:30:23,-8.7676,160.7034,86.16,61,22,4.05
170,Vaini,TO,2022-07-28 00:28:39,-21.2,-175.2,78.96,83,20,9.22
171,Semenivka,UA,2022-07-28 00:30:24,52.1783,32.5818,59.79,92,93,6.6
172,Sioux Lookout,CA,2022-07-28 00:30:24,50.1001,-91.917,59.07,94,75,5.75
173,Paamiut,GL,2022-07-28 00:30:24,61.994,-49.6678,42.03,93,69,17.31
174,Luangwa,ZM,2022-07-28 00:30:25,-15.6167,30.4167,57.92,85,67,3.4
175,Gold Coast,AU,2022-07-28 00:30:25,-28.0,153.4333,67.03,53,6,10.36
176,Carnarvon,AU,2022-07-28 00:30:26,-24.8667,113.6333,72.21,48,100,1.74
177,Talnakh,RU,2022-07-28 00:30:26,69.4865,88.3972,54.21,60,78,9.13
178,Gigmoto,PH,2022-07-28 00:30:27,13.7796,124.39,85.8,71,100,5.57
179,Norman Wells,CA,2022-07-28 00:27:49,65.282,-126.8329,66.24,42,75,5.75
180,Bandarbeyla,SO,2022-07-28 00:30:27,9.4942,50.8122,76.73,72,99,26.71
181,Beringovskiy,RU,2022-07-28 00:30:28,63.05,179.3167,48.34,91,100,4.0
182,Mareeba,AU,2022-07-28 00:30:28,-17.0,145.4333,71.47,70,11,7.83
183,Charters Towers,AU,2022-07-28 00:31:29,-20.1,146.2667,65.53,30,0,10.94
184,Twinsburg,US,2022-07-28 00:31:29,41.3126,-81.4401,78.12,84,100,0.0
185,Porto Novo,BJ,2022-07-28 00:30:22,6.4965,2.6036,78.62,87,100,9.69
186,Pangody,RU,2022-07-28 00:31:30,65.85,74.4859,55.36,69,3,10.54
187,Tanabe,JP,2022-07-28 00:31:31,33.7333,135.3667,83.41,83,75,8.05
188,Palimbang,PH,2022-07-28 00:31:31,6.2106,124.1894,83.32,72,100,1.68
189,Namtsy,RU,2022-07-28 00:31:32,62.7161,129.6658,85.41,41,5,1.14
190,Vilyuysk,RU,2022-07-28 00:31:32,63.7553,121.6247,81.07,47,36,7.11
191,Ndola,ZM,2022-07-28 00:31:32,-12.9587,28.6366,52.77,77,7,5.66
192,Kirakira,SB,2022-07-28 00:28:34,-10.4544,161.9205,83.26,73,91,7.34
193,Tabou,CI,2022-07-28 00:31:33,4.423,-7.3528,75.06,77,98,11.18
194,Leningradskiy,RU,2022-07-28 00:29:17,69.3833,178.4167,38.35,82,99,5.55
195,Arkhangelsk,RU,2022-07-28 00:31:34,64.5401,40.5433,64.51,100,20,4.47
196,Adrar,MR,2022-07-28 00:31:34,20.5022,-10.0711,97.52,10,0,9.8
197,Rassvet,RU,2022-07-28 00:31:35,46.8333,40.75,65.35,89,0,2.24
198,Jacqueville,CI,2022-07-28 00:31:35,5.2052,-4.4146,76.33,85,82,17.49
199,Kemijarvi,FI,2022-07-28 00:28:24,66.7131,27.4306,49.41,97,66,5.97
200,Boende,CD,2022-07-28 00:30:05,-0.2167,20.8667,71.2,95,100,1.3
201,Vila Velha,BR,2022-07-28 00:31:37,-20.3297,-40.2925,67.95,90,40,0.0
202,Touros,BR,2022-07-28 00:31:37,-5.1989,-35.4608,73.98,84,11,11.16
203,Provideniya,RU,2022-07-28 00:27:29,64.3833,-173.3,46.51,100,100,4.47
204,Boca Do Acre,BR,2022-07-28 00:31:38,-8.7522,-67.3978,78.12,50,2,1.74
205,Semey,KZ,2022-07-28 00:31:38,50.4111,80.2275,68.22,64,20,11.18
206,Sao Filipe,CV,2022-07-28 00:26:46,14.8961,-24.4956,79.07,87,72,2.08
207,Mayo,US,2022-07-28 00:31:39,38.8876,-76.5119,84.61,85,0,8.05
208,Ribeira Grande,PT,2022-07-28 00:31:40,38.5167,-28.7,73.0,86,36,11.07
209,Jalu,LY,2022-07-28 00:29:56,29.0331,21.5482,81.57,49,0,10.83
