City_ID,City,Country,Max Temp,Weather Discription,Lat,Lng,Hotel Name
445,La Ronge,CA,75.42,few clouds,55.1001,-105.2842,Northland Motor Hotel
446,Nouakchott,MR,82.33,clear sky,18.0858,-15.9785,HOTEL IMAN
451,Pak Phanang,TH,79.95,broken clouds,8.3511,100.202,Green Park Inn Hotel
452,Abu Dhabi,AE,91.42,clear sky,24.4667,54.3667,Beach Rotana
457,Kapoeta,SS,75.63,broken clouds,4.7717,33.5903,Eastgate Hotel
458,Jiazi,CN,82.8,overcast clouds,22.8779,116.067,Hotel Jin Hao
462,Gairo,IT,75.16,clear sky,39.8497,9.5047,La Nuova Luna
464,Hamilton,US,90.59,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
466,Alberton,CA,77.13,clear sky,46.8168,-64.0654,La Petite France B&B
467,Nioaque,BR,92.86,clear sky,-21.1353,-55.83,Nioaque Novo Hotel
469,Auki,SB,76.24,broken clouds,-8.7676,160.7034,Auki Motel
470,Kitimat,CA,80.98,clear sky,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
471,Paratinga,BR,87.22,clear sky,-12.6906,-43.1842,Pousada Magalhães 2
473,Coahuayana,MX,88.9,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
477,Touros,BR,77.83,clear sky,-5.1989,-35.4608,INN NEW HORIZON
484,Aksu,CN,82.09,few clouds,41.1231,80.2644,Pudong Holiday Hotel
486,Itambe,BR,77.22,clear sky,-15.245,-40.6244,Pousada San Remo
487,Sterling,US,93.54,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
491,Las Lomas,PA,85.41,scattered clouds,8.4333,-82.4,Hotel Castilla
492,Portland,US,94.98,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
495,Chauk,MM,87.53,overcast clouds,20.8833,94.8167,Bo Khin Guest House
496,Garowe,SO,81.86,clear sky,8.4054,48.4845,Curubo Hotel
504,Bagaha,IN,81.3,broken clouds,27.1,84.0833,Hotel The Royal Residency
506,Mecca,SA,92.8,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
508,Camacari,BR,80.37,clear sky,-12.6975,-38.3242,Sítio Blasi
510,Kavaratti,IN,81.05,overcast clouds,10.5669,72.642,Green leaf
511,Pirassununga,BR,83.86,clear sky,-21.9961,-47.4258,Hotel Premium Pirassununga
513,Daru,PG,75.9,overcast clouds,-9.0763,143.2092,Daru Lodge
515,Bellevue,US,94.05,clear sky,47.6104,-122.2007,The Westin Bellevue
517,Altea,ES,85.48,clear sky,38.5989,-0.0514,Albir Playa Hotel & Spa
520,Winslow,US,83.28,scattered clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
