City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Discription
161,Aswan,EG,2022-07-28 19:52:02,24.0934,32.907,99.7,12,0,9.22,clear sky
162,Laguna,US,2022-07-28 19:54:34,38.421,-121.4238,95.02,34,0,5.75,clear sky
163,Bethel,US,2022-07-28 19:54:34,41.3712,-73.414,90.05,71,100,1.99,overcast clouds
164,Victoria,HK,2022-07-28 19:52:09,22.2855,114.1577,87.33,79,100,4.0,overcast clouds
165,Port Hardy,CA,2022-07-28 19:51:21,50.6996,-127.4199,66.38,77,0,4.61,clear sky
166,Tessalit,ML,2022-07-28 19:50:56,20.1986,1.0114,95.56,23,91,11.41,overcast clouds
167,San Cristobal,VE,2022-07-28 19:54:36,7.7669,-72.225,73.58,60,99,6.8,overcast clouds
168,Kajaani,FI,2022-07-28 19:51:59,64.2273,27.7285,59.05,67,0,8.05,clear sky
169,Iisaku,EE,2022-07-28 19:54:36,59.1014,27.3081,55.81,92,73,7.11,broken clouds
170,Provideniya,RU,2022-07-28 19:54:37,64.3833,-173.3,48.96,84,97,3.78,overcast clouds
171,Hithadhoo,MV,2022-07-28 19:54:37,-0.6,73.0833,82.18,74,100,11.72,overcast clouds
172,Dickinson,US,2022-07-28 19:54:38,29.4608,-95.0513,97.99,59,20,13.8,few clouds
173,Kununurra,AU,2022-07-28 19:52:39,-15.7667,128.7333,51.78,87,19,2.3,few clouds
174,Luderitz,NA,2022-07-28 19:54:39,-26.6481,15.1594,54.52,86,60,2.68,broken clouds
175,Walvis Bay,NA,2022-07-28 19:54:39,-22.9575,14.5053,54.09,82,6,4.61,clear sky
176,Tekkali,IN,2022-07-28 19:54:40,18.6167,84.2333,80.98,82,32,4.23,scattered clouds
177,Bahia Honda,CU,2022-07-28 19:54:40,22.9036,-83.1592,88.25,62,11,15.79,few clouds
178,Tarko-Sale,RU,2022-07-28 19:54:41,64.9225,77.785,58.3,69,16,6.58,few clouds
179,Mahebourg,MU,2022-07-28 19:50:01,-20.4081,57.7,70.09,78,75,6.91,broken clouds
180,Hofn,IS,2022-07-28 19:54:42,64.2539,-15.2082,51.44,93,100,1.74,overcast clouds
181,Ribnitz-Damgarten,DE,2022-07-28 19:54:43,54.25,12.4667,61.09,100,13,5.61,few clouds
182,Mokhsogollokh,RU,2022-07-28 19:54:43,61.4681,128.9203,67.37,70,27,1.61,scattered clouds
183,Churapcha,RU,2022-07-28 19:54:44,62.0025,132.4325,67.68,61,5,3.78,clear sky
184,Sao Desiderio,BR,2022-07-28 19:54:44,-12.3633,-44.9733,88.56,19,0,2.35,clear sky
185,East London,ZA,2022-07-28 19:50:09,-33.0153,27.9116,69.85,57,15,16.93,few clouds
186,Augustow,PL,2022-07-28 19:54:45,53.8432,22.9798,55.81,95,12,5.91,few clouds
187,Tunkas,MX,2022-07-28 19:54:46,20.9,-88.75,95.14,43,64,4.47,broken clouds
188,Richards Bay,ZA,2022-07-28 19:54:46,-28.783,32.0377,66.97,79,1,14.38,clear sky
189,Hermanus,ZA,2022-07-28 19:51:39,-34.4187,19.2345,57.63,74,0,13.47,clear sky
190,Lundazi,ZM,2022-07-28 19:54:47,-12.2929,33.1782,56.93,65,5,4.03,clear sky
191,Itacare,BR,2022-07-28 19:54:48,-14.2775,-38.9967,72.5,78,3,5.57,clear sky
192,Nikolskoye,RU,2022-07-28 19:51:52,59.7035,30.7861,61.81,78,100,3.74,overcast clouds
193,Bethanien,NA,2022-07-28 19:54:48,-26.502,17.1583,50.2,34,72,6.26,broken clouds
194,Cabo San Lucas,MX,2022-07-28 19:50:42,22.8909,-109.9124,93.61,59,18,5.99,few clouds
195,Yatou,CN,2022-07-28 19:54:49,37.15,122.3833,75.97,97,37,8.3,scattered clouds
196,Onega,RU,2022-07-28 19:54:50,63.9061,38.1404,62.53,85,81,4.34,broken clouds
197,Yumen,CN,2022-07-28 19:50:00,40.2833,97.2,76.84,13,82,9.42,broken clouds
198,Beatrice,US,2022-07-28 19:54:51,40.2681,-96.747,82.18,47,0,4.61,clear sky
199,Henties Bay,NA,2022-07-28 19:54:51,-22.116,14.2845,54.3,89,35,7.49,scattered clouds
200,Avarua,CK,2022-07-28 19:54:52,-21.2078,-159.775,77.05,83,40,23.02,scattered clouds
201,Kiunga,PG,2022-07-28 19:54:52,-6.1219,141.2906,73.76,99,95,2.75,overcast clouds
202,Betare Oya,CM,2022-07-28 19:54:53,5.6,14.0833,66.63,98,100,3.71,moderate rain
203,Inta,RU,2022-07-28 19:54:53,66.0317,60.1659,60.85,59,95,9.62,overcast clouds
204,Husavik,IS,2022-07-28 19:54:54,66.0449,-17.3389,52.14,77,25,7.49,scattered clouds
